element	sp_num	obs_wl_air(nm)	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	g_i	g_k	Type	
Cu	2	542.2392	7.2e+06	D+	136269.9996	154706.911	9	11		
Ag	2	542.40511	7.4e+07	C	126766.4681	145197.750	5	5		
Ag	1	546.5497	8.6e+07	D	30472.66516	48764.219	4	6		
Ag	1	547.1555	1.4e+07	D	30472.66516	48743.969	4	4		
Ag	2	547.86597	5.4e+07	C	126766.4681	145014.040	5	3		
Ag	2	548.81567	7.8e+07	C	127211.1186	145427.113	7	9		
Ag	2	549.38309	2.8e+07	C	127211.1186	145408.300	7	7		
Ag	2	554.32124	2.1e+07	C	127523.4831	145558.556	5	7		
Ag	2	555.19265	1.07e+08	C	127491.0946	145497.860	7	9		
Ag	2	555.81401	1.9e+07	C	127211.1186	145197.750	7	5		
Ag	2	557.38261	3.2e+07	C	127491.0946	145427.113	7	9		
Cu	2	557.84356	1.0e+07	D+	136725.85349	154647.056	11	13		
Ag	2	557.96777	3.7e+07	C	127491.0946	145408.300	7	7		
Cu	2	558.4346	9.e+06	D+	138819.0637	156721.308	7	9		
Ag	2	558.8417	1.6e+07	C	127608.6762	145497.860	9	9		
Ag	2	558.97828	6.9e+07	C	127523.4831	145408.300	5	7		
Cu	2	559.25298	9.e+06	D+	136765.3514	154641.392	9	11		
Cu	2	560.7282	8.e+06	D+	138882.8921	156711.894	9	11		
Ag	2	561.06066	4.0e+07	C	127608.6762	145427.113	9	9		
Ag	2	562.24822	1.4e+08	C	127608.6762	145389.480	9	11		
Cu	2	566.7434	5.8e+06	D+	137034.778	154674.551	7	9		
Cu	2	567.0329	7.4e+06	D+	137044.4647	154675.247	9	11		
Cu	1	570.0240	2.4e+05	C+	13245.443	30783.697	4	4		
Cu	1	578.2132	1.65e+06	C+	13245.443	30535.324	4	2		
Cu	2	582.5823	1.1e+07	D+	121981.8546	139142.049	5	5		
Cu	2	583.35146	7.9e+06	D+	121981.8546	139119.4295	5	7		
Au	1	583.737	2.95e+07	B+	37358.991	54485.235	2	2		
Cu	2	593.7576	1.0e+07	D+	121981.8546	138819.0637	5	7		
Cu	2	594.11951	3.6e+07	D+	120092.3828	136919.3511	5	7		
Cu	2	598.83141	9.e+07	D+	120919.5715	137614.140	3	1		
Cu	2	599.55902	3.0e+07	D+	122224.0199	138898.334	1	3		
Cu	2	600.01169	7.5e+07	D+	120092.3828	136754.1104	5	5		
Cu	2	608.3086	6.9e+06	D+	138401.956	154836.434	7	9		
Cu	2	609.7328	1.9e+07	D+	122745.9491	139142.049	5	5		
Cu	2	610.5747	9.e+06	D+	122745.9491	139119.4295	5	7		
Cu	2	610.74055	3.3e+07	D+	122224.0199	138593.046	1	3		
Cu	2	611.44926	3.4e+07	D+	120684.7128	137034.778	7	7		
Cu	2	615.03818	3.6e+07	D+	120789.80865	137044.4647	9	9		
Cu	2	615.42215	1.0e+08	D+	120092.3828	136336.8971	5	3		
Cu	2	617.2033	3.4e+07	D+	120876.0141	137073.6465	5	5		
Cu	2	618.68770	3.6e+07	D+	120876.0141	137034.778	5	7		
Cu	2	618.86763	3.1e+07	D+	120919.5715	137073.6465	3	5		
Cu	2	619.8091	9.e+06	D+	120789.80865	136919.3511	9	7		
Cu	2	620.42569	4.9e+07	D+	122867.7407	138981.246	3	5		
Cu	2	620.84527	2.9e+07	D+	123016.8175	139119.4295	7	7		
Cu	2	621.69386	9.4e+07	C+	120684.7128	136765.3514	7	9		
Cu	2	621.98492	9.4e+07	C+	122745.9491	138819.0637	5	7		
Cu	2	625.7838	4.1e+06	D+	120789.80865	136765.3514	9	9		
Cu	2	626.18477	3.7e+07	D+	121079.1501	137044.4647	7	9		
Cu	2	627.334762	1.06e+08	C+	120789.80865	136725.85349	9	11		
